,RollNumber,Name,exam-mid-35,exam-end-50,lab-basic01-20,lab-basic02-20,lab-basic03-20,asgn-basic01-15,asgn-basic02-15,asgn-basic03-15,asgn-basic04-15,oth-quiz01-30,oth-quiz02-30,oth-quiz03-30,fraud,overall,avgExam,avgLab,avgAsgn,avgOth,ChMarks,var,cheatflagged,temp,best,worst,bestExam,worstExam
0,1,0,932.9446064139943,640.0,4375.0,3125.0,7500.0,15802.469135802472,13827.16049382716,27654.32098765432,25679.012345679013,1604.9382716049383,2592.5925925925926,1851.8518518518513,5,54.44444444444444,120.0,120.0,280.0,163.33333333333334,134.44444444444446,777.8501168144027,145.55555555555554,777.8684841613415,93.33,25.0,basic03,basic02
1,2,0,1532.6947105372758,192.0,7500.0,5625.0,2500.0,11851.851851851852,23703.703703703704,5925.925925925926,23703.703703703704,3209.8765432098767,493.82716049382725,493.82716049382725,4,44.20634920634921,89.71428571428571,125.0,220.0,113.33333333333333,109.34920634920634,1297.8053322339038,110.65079365079366,1297.827953418823,86.67,13.33,quiz01,quiz03
2,3,0,533.1112036651396,576.0,625.0,6875.0,10000.0,27654.32098765432,15802.469135802472,25679.012345679013,5925.925925925926,3456.79012345679,0.0,370.3703703703704,3,47.492063492063494,94.85714285714286,140.0,253.33333333333331,103.33333333333333,112.73015873015873,502.14064110492683,140.60317460317458,502.16169725465943,93.33,0.0,quiz01,quiz02
3,4,0,1532.6947105372758,448.0,4375.0,3125.0,9375.0,5925.925925925926,23703.703703703704,9876.543209876543,13827.16049382716,1851.8518518518513,3333.3333333333335,1481.4814814814815,2,54.42857142857143,121.71428571428571,135.0,180.0,180.0,145.57142857142858,831.4949494949495,34.428571428571416,831.5133221983616,90.0,20.0,quiz02,basic01
4,5,0,466.47230320699714,736.0,1875.0,7500.0,9375.0,11851.851851851852,23703.703703703704,25679.012345679013,27654.32098765432,1234.567901234568,2962.962962962963,1358.0246913580243,1,55.5,112.0,150.0,300.0,150.0,137.33333333333334,881.4893664536522,162.66666666666666,881.5073844716702,93.33,15.0,basic04,basic01
5,6,0,2199.0837151187006,576.0,3750.0,3750.0,1875.0,13827.16049382716,21728.395061728388,25679.012345679013,19753.086419753086,1481.4814814814815,246.91358024691363,617.283950617284,5,58.01587301587302,166.28571428571428,75.0,273.33333333333337,63.33333333333333,101.53968253968253,690.3056929842642,171.79365079365084,690.3229296463709,94.29,6.67,mid,quiz02
6,7,0,1932.528113286131,80.0,3750.0,1250.0,10625.0,7901.234567901236,11851.851851851852,3950.617283950618,9876.543209876543,246.91358024691363,1234.567901234568,740.7407407407408,6,40.54761904761905,92.85714285714286,125.0,113.33333333333334,60.0,92.61904761904763,935.2071050642477,20.714285714285708,935.2317674247879,85.0,6.67,basic03,quiz01
7,8,0,199.9167013744273,512.0,6250.0,11875.0,11875.0,19753.086419753086,11851.851851851852,21728.395061728388,5925.925925925926,987.6543209876545,3580.2469135802476,2962.962962962963,4,53.92063492063492,72.57142857142857,240.0,200.0,203.33333333333334,171.96825396825398,510.91012162440734,28.031746031746025,510.92866740009174,96.67,8.57,quiz02,mid
8,9,0,333.19450229071225,640.0,5000.0,6250.0,7500.0,9876.543209876543,19753.086419753086,5925.925925925926,21728.395061728388,1234.567901234568,493.82716049382725,1481.4814814814815,2,46.2936507936508,94.28571428571429,150.0,193.33333333333331,86.66666666666667,110.31746031746032,817.8274410774411,83.015873015873,817.8490423117973,80.0,13.33,end,quiz02
9,10,0,932.9446064139943,688.0,1250.0,2500.0,6875.0,11851.851851851852,1975.308641975309,27654.32098765432,11851.851851851852,1728.395061728395,123.45679012345681,1358.0246913580243,1,47.388888888888886,126.0,85.0,180.0,86.66666666666666,99.22222222222221,830.7393664536519,80.77777777777779,830.7604684466179,93.33,3.33,basic03,quiz02
